dataset,method,model,split,config,N,runs,observed_N_min,observed_N_mean,match_rate_mean,match_rate_std,log10_p_value_mean,log10_p_value_std,p_value_geomean
alfworld,agentmark,deepseek,ID,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,agentmark,deepseek,ID,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,agentmark,deepseek,ID,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
alfworld,agentmark,deepseek,ID,L0_exact_probs,30,3,30,30,1.0,0.0,-9.030899869919436,0.0,9.313225746154785e-10
alfworld,agentmark,deepseek,ID,L0_exact_probs,50,3,50,50,1.0,0.0,-15.05149978319906,0.0,8.881784197001266e-16
alfworld,agentmark,deepseek,ID,L0_exact_probs,80,3,80,80,1.0,0.0,-24.082399653118497,0.0,8.271806125530256e-25
alfworld,agentmark,deepseek,ID,L0_exact_probs,100,3,100,100,1.0,0.0,-30.10299956639812,0.0,7.88860905221014e-31
alfworld,agentmark,deepseek,ID,L0_exact_probs,150,3,150,150,1.0,0.0,-45.15449934959718,0.0,7.006492321624059e-46
alfworld,agentmark,deepseek,ID,L0_exact_probs,200,3,200,200,1.0,0.0,-60.20599913279624,0.0,6.223015277861178e-61
alfworld,agentmark,deepseek,OOD,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,agentmark,deepseek,OOD,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,agentmark,deepseek,OOD,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
alfworld,agentmark,deepseek,OOD,L0_exact_probs,30,3,30,30,1.0,0.0,-9.030899869919436,0.0,9.313225746154785e-10
alfworld,agentmark,deepseek,OOD,L0_exact_probs,50,3,50,50,1.0,0.0,-15.05149978319906,0.0,8.881784197001266e-16
alfworld,agentmark,deepseek,OOD,L0_exact_probs,80,3,80,80,1.0,0.0,-24.082399653118497,0.0,8.271806125530256e-25
alfworld,agentmark,deepseek,OOD,L0_exact_probs,100,3,100,100,1.0,0.0,-30.10299956639812,0.0,7.88860905221014e-31
