dataset,method,model,split,run,tasks,decode_ok_tasks,recovery_rate,dedup_packet_mean,conflict_mean,meta_sources,failure_reasons
alfworld,agentmark,deepseek,ID,1,140,95,0.6785714285714286,18.27857142857143,0,"{""report_metadata"": 140}","{""insufficient_packets"": 41, ""ok"": 95, ""rank_deficient"": 4}"
alfworld,agentmark,deepseek,ID,2,140,91,0.65,21.242857142857144,0,"{""report_metadata"": 140}","{""insufficient_packets"": 46, ""ok"": 91, ""rank_deficient"": 3}"
alfworld,agentmark,deepseek,ID,3,140,94,0.6714285714285714,19.15714285714286,0,"{""report_metadata"": 140}","{""insufficient_packets"": 43, ""ok"": 94, ""rank_deficient"": 3}"
alfworld,agentmark,deepseek,OOD,1,134,99,0.7388059701492538,21.223880597014926,0,"{""report_metadata"": 134}","{""insufficient_packets"": 32, ""ok"": 99, ""rank_deficient"": 3}"
alfworld,agentmark,deepseek,OOD,2,134,93,0.6940298507462687,21.992537313432837,0,"{""report_metadata"": 134}","{""insufficient_packets"": 37, ""ok"": 93, ""rank_deficient"": 4}"
alfworld,agentmark,deepseek,OOD,3,134,98,0.7313432835820896,22.492537313432837,0,"{""report_metadata"": 134}","{""insufficient_packets"": 34, ""ok"": 98, ""rank_deficient"": 2}"
alfworld,agentmark,gemini-flash,ID,1,140,118,0.8428571428571429,36.84285714285714,0,"{""report_metadata"": 140}","{""insufficient_packets"": 19, ""ok"": 118, ""rank_deficient"": 3}"
alfworld,agentmark,gemini-flash,ID,2,140,114,0.8142857142857143,37.55,0,"{""report_metadata"": 140}","{""insufficient_packets"": 21, ""ok"": 114, ""rank_deficient"": 5}"
alfworld,agentmark,gemini-flash,ID,3,140,116,0.8285714285714286,38.19285714285714,0,"{""report_metadata"": 140}","{""insufficient_packets"": 23, ""ok"": 116, ""rank_deficient"": 1}"
alfworld,agentmark,gemini-flash,OOD,1,134,107,0.7985074626865671,38.35820895522388,0,"{""report_metadata"": 134}","{""insufficient_packets"": 24, ""ok"": 107, ""rank_deficient"": 3}"
alfworld,agentmark,gemini-flash,OOD,2,134,111,0.8283582089552238,38.19402985074627,0,"{""report_metadata"": 134}","{""insufficient_packets"": 20, ""ok"": 111, ""rank_deficient"": 3}"
alfworld,agentmark,gemini-flash,OOD,3,134,109,0.8134328358208955,36.985074626865675,0,"{""report_metadata"": 134}","{""insufficient_packets"": 24, ""ok"": 109, ""rank_deficient"": 1}"
alfworld,rank,deepseek,ID,1,140,36,0.2571428571428571,6.921428571428572,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 1, ""insufficient_packets"": 93, ""ok"": 36, ""payload_mismatch"": 7, ""rank_deficient"": 3}"
alfworld,rank,deepseek,ID,2,140,26,0.18571428571428572,7.1,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 3, ""insufficient_packets"": 88, ""ok"": 26, ""payload_mismatch"": 16, ""rank_deficient"": 7}"
alfworld,rank,deepseek,ID,3,140,36,0.2571428571428571,7.442857142857143,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 6, ""insufficient_packets"": 83, ""ok"": 36, ""payload_mismatch"": 9, ""rank_deficient"": 6}"
alfworld,rank,deepseek,OOD,1,134,32,0.23880597014925373,7.552238805970149,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 5, ""insufficient_packets"": 75, ""ok"": 32, ""payload_mismatch"": 13, ""rank_deficient"": 9}"
alfworld,rank,deepseek,OOD,2,134,33,0.2462686567164179,7.641791044776119,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 3, ""insufficient_packets"": 79, ""ok"": 33, ""payload_mismatch"": 12, ""rank_deficient"": 7}"
alfworld,rank,deepseek,OOD,3,134,32,0.23880597014925373,7.962686567164179,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 7, ""insufficient_packets"": 70, ""ok"": 32, ""payload_mismatch"": 19, ""rank_deficient"": 6}"
alfworld,rank,gemini-flash,ID,1,140,80,0.5714285714285714,15.614285714285714,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 1, ""insufficient_packets"": 43, ""ok"": 80, ""payload_mismatch"": 13, ""rank_deficient"": 3}"
alfworld,rank,gemini-flash,ID,2,140,69,0.4928571428571429,16.264285714285716,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 1, ""insufficient_packets"": 47, ""ok"": 69, ""payload_mismatch"": 19, ""rank_deficient"": 4}"
alfworld,rank,gemini-flash,ID,3,140,64,0.45714285714285713,15.207142857142857,0,"{""report_metadata"": 140}","{""all_steps_len_mismatch"": 1, ""insufficient_packets"": 48, ""ok"": 64, ""payload_mismatch"": 23, ""rank_deficient"": 4}"
alfworld,rank,gemini-flash,OOD,1,134,54,0.40298507462686567,15.119402985074627,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 3, ""insufficient_packets"": 46, ""ok"": 54, ""payload_mismatch"": 22, ""rank_deficient"": 9}"
alfworld,rank,gemini-flash,OOD,2,134,53,0.39552238805970147,13.58955223880597,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 5, ""insufficient_packets"": 52, ""ok"": 53, ""payload_mismatch"": 16, ""rank_deficient"": 8}"
alfworld,rank,gemini-flash,OOD,3,134,58,0.43283582089552236,15.350746268656716,0,"{""report_metadata"": 134}","{""all_steps_len_mismatch"": 3, ""insufficient_packets"": 49, ""ok"": 58, ""payload_mismatch"": 21, ""rank_deficient"": 3}"
toolbench,agentmark,deepseek,G1_category,1,20,1,0.05,1.45,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,agentmark,deepseek,G1_category,2,20,0,0.0,0.85,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,agentmark,deepseek,G1_category,3,20,1,0.05,1.25,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,agentmark,deepseek,G1_instruction,1,20,3,0.15,3.75,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 3, ""rank_deficient"": 1}"
toolbench,agentmark,deepseek,G1_instruction,2,20,3,0.15,2.75,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 17, ""ok"": 3}"
toolbench,agentmark,deepseek,G1_instruction,3,20,3,0.15,3.75,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 15, ""ok"": 3, ""rank_deficient"": 2}"
toolbench,agentmark,deepseek,G1_tool,1,20,0,0.0,1.8,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,agentmark,deepseek,G1_tool,2,20,0,0.0,1.05,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,agentmark,deepseek,G1_tool,3,20,0,0.0,1.4,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,agentmark,deepseek,G2_category,1,20,2,0.1,2.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,agentmark,deepseek,G2_category,2,20,4,0.2,4.45,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 4}"
toolbench,agentmark,deepseek,G2_category,3,20,6,0.3,4.7,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 14, ""ok"": 6}"
toolbench,agentmark,deepseek,G2_instruction,1,20,3,0.15,3.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 3, ""rank_deficient"": 1}"
toolbench,agentmark,deepseek,G2_instruction,2,20,3,0.15,3.9,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 17, ""ok"": 3}"
toolbench,agentmark,deepseek,G2_instruction,3,20,3,0.15,2.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 3, ""rank_deficient"": 1}"
toolbench,agentmark,deepseek,G3_instruction,1,20,2,0.1,2.7,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 17, ""ok"": 2, ""rank_deficient"": 1}"
toolbench,agentmark,deepseek,G3_instruction,2,20,5,0.25,3.35,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 15, ""ok"": 5}"
toolbench,agentmark,deepseek,G3_instruction,3,20,4,0.2,3.25,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 4}"
toolbench,agentmark,gemini-flash,G1_category,1,20,2,0.1,2.75,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,agentmark,gemini-flash,G1_category,2,20,0,0.0,1.3,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,agentmark,gemini-flash,G1_category,3,20,0,0.0,1.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,agentmark,gemini-flash,G1_instruction,1,20,2,0.1,4.3,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 2, ""rank_deficient"": 2}"
toolbench,agentmark,gemini-flash,G1_instruction,2,20,2,0.1,2.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,agentmark,gemini-flash,G1_instruction,3,20,1,0.05,1.7,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,agentmark,gemini-flash,G1_tool,1,20,4,0.2,4.2,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 4}"
toolbench,agentmark,gemini-flash,G1_tool,2,20,2,0.1,3.35,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,agentmark,gemini-flash,G1_tool,3,20,1,0.05,2.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 1, ""rank_deficient"": 1}"
toolbench,agentmark,gemini-flash,G2_category,1,20,1,0.05,3.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,agentmark,gemini-flash,G2_category,2,20,2,0.1,2.15,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,agentmark,gemini-flash,G2_category,3,20,3,0.15,4.8,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 17, ""ok"": 3}"
toolbench,agentmark,gemini-flash,G2_instruction,1,20,0,0.0,1.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,agentmark,gemini-flash,G2_instruction,2,20,1,0.05,3.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,agentmark,gemini-flash,G2_instruction,3,20,2,0.1,2.7,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
