dataset,method,model,run,split,task_file,path_in_output_0510,original_path,source_pred_root
toolbench,agentmark,deepseek,1,G1_category,28.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/28.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/28.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,29.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/29.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/29.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,1198.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/1198.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/1198.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,1236.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/1236.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/1236.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,1301.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/1301.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/1301.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,3995.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/3995.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/3995.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4117.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4117.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4117.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4144.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4144.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4144.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4153.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4153.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4153.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4155.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4155.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4155.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4179.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4179.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4179.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4266.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4266.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4266.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4273.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4273.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4273.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4286.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4286.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4286.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4311.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4311.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4311.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4328.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4328.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4328.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4343.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4343.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4343.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4366.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4366.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4366.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4415.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4415.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4415.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_category,4424.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_category/4424.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_category/4424.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_instruction,577.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_instruction/577.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_instruction/577.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_instruction,588.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_instruction/588.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_instruction/588.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
toolbench,agentmark,deepseek,1,G1_instruction,608.json,/root/autodl-tmp/output-0510.clean_build/toolbench/agentmark/deepseek/run_1/G1_instruction/608.json,/root/output-0425/toolbench/agentmark/deepseek/run_1/G1_instruction/608.json,/root/output-0425/toolbench/agentmark/deepseek/run_1
