direction,direction_label,topk,pool_size,success_mean,dedup_mean,conflicts_mean
deepseek->gemini-flash,DeepSeek -> Gemini,2,1,0.000,1.060,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,2,0.000,1.855,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,3,0.000,2.360,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,5,0.000,3.205,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,8,0.000,3.820,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,10,0.000,3.920,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,15,0.000,4.310,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,20,0.000,4.695,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,30,0.000,5.170,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,40,0.000,5.480,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,2,50,0.000,5.860,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,3,1,0.000,1.470,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,3,2,0.000,2.580,0.075
deepseek->gemini-flash,DeepSeek -> Gemini,3,3,0.000,3.560,0.145
deepseek->gemini-flash,DeepSeek -> Gemini,3,5,0.020,5.370,0.380
deepseek->gemini-flash,DeepSeek -> Gemini,3,8,0.055,7.350,0.760
deepseek->gemini-flash,DeepSeek -> Gemini,3,10,0.080,8.165,1.135
deepseek->gemini-flash,DeepSeek -> Gemini,3,15,0.140,10.190,2.060
deepseek->gemini-flash,DeepSeek -> Gemini,3,20,0.290,12.505,3.030
deepseek->gemini-flash,DeepSeek -> Gemini,3,30,0.315,14.515,4.855
deepseek->gemini-flash,DeepSeek -> Gemini,3,40,0.380,16.625,6.615
deepseek->gemini-flash,DeepSeek -> Gemini,3,50,0.490,17.990,8.125
deepseek->gemini-flash,DeepSeek -> Gemini,3,75,0.645,20.095,11.755
deepseek->gemini-flash,DeepSeek -> Gemini,3,100,0.965,20.250,14.670
deepseek->gemini-flash,DeepSeek -> Gemini,4,1,0.000,1.800,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,4,2,0.000,3.065,0.095
deepseek->gemini-flash,DeepSeek -> Gemini,4,3,0.015,4.270,0.205
deepseek->gemini-flash,DeepSeek -> Gemini,4,5,0.015,5.470,0.560
deepseek->gemini-flash,DeepSeek -> Gemini,4,8,0.035,6.820,1.340
deepseek->gemini-flash,DeepSeek -> Gemini,4,10,0.095,7.830,1.655
deepseek->gemini-flash,DeepSeek -> Gemini,4,15,0.155,9.455,2.605
deepseek->gemini-flash,DeepSeek -> Gemini,4,20,0.235,10.730,3.705
deepseek->gemini-flash,DeepSeek -> Gemini,4,30,0.210,12.405,5.345
deepseek->gemini-flash,DeepSeek -> Gemini,4,40,0.225,13.630,6.835
