Scope,Dataset,Method,Model,OK,Tasks,Global Recovery (%)
overall,ALL,ALL,ALL,1901,4728,40.2073
by_method,ALL,AgentMark-F,ALL,1314,2364,55.5838
by_method,ALL,AsymAgentMark-TK,ALL,587,2364,24.8308
by_dataset,ALFWorld,ALL,ALL,1818,3288,55.2920
by_dataset,ToolBench,ALL,ALL,83,1440,5.7639
by_dataset_method,ALFWorld,AgentMark-F,ALL,1245,1644,75.7299
by_dataset_method,ALFWorld,AsymAgentMark-TK,ALL,573,1644,34.8540
by_dataset_method,ToolBench,AgentMark-F,ALL,69,720,9.5833
by_dataset_method,ToolBench,AsymAgentMark-TK,ALL,14,720,1.9444
by_method_model,ALL,AgentMark-F,deepseek,613,1182,51.8613
by_method_model,ALL,AgentMark-F,gemini-flash,701,1182,59.3063
by_method_model,ALL,AsymAgentMark-TK,deepseek,205,1182,17.3435
by_method_model,ALL,AsymAgentMark-TK,gemini-flash,382,1182,32.3181
by_dataset_method_model,ALFWorld,AgentMark-F,deepseek,570,822,69.3431
by_dataset_method_model,ALFWorld,AgentMark-F,gemini-flash,675,822,82.1168
by_dataset_method_model,ALFWorld,AsymAgentMark-TK,deepseek,195,822,23.7226
by_dataset_method_model,ALFWorld,AsymAgentMark-TK,gemini-flash,378,822,45.9854
by_dataset_method_model,ToolBench,AgentMark-F,deepseek,43,360,11.9444
by_dataset_method_model,ToolBench,AgentMark-F,gemini-flash,26,360,7.2222
by_dataset_method_model,ToolBench,AsymAgentMark-TK,deepseek,10,360,2.7778
by_dataset_method_model,ToolBench,AsymAgentMark-TK,gemini-flash,4,360,1.1111
