trial,selected,consumed_bits,decoded_bits,expected_bits,decode_ok,keyed_order
0,a3,0,,,True,a3 a6 a7 a1 a4 a2 a0 a5
1,a2,1,1,1,True,a3 a4 a5 a0 a2 a7 a1 a6
2,a2,1,1,1,True,a4 a2 a0 a3 a5 a1 a6 a7
3,a5,1,0,0,True,a3 a4 a1 a6 a5 a0 a2 a7
4,a7,1,0,0,True,a1 a7 a3 a0 a2 a6 a5 a4
5,a4,1,1,1,True,a5 a4 a7 a0 a2 a6 a1 a3
6,a6,1,1,1,True,a4 a6 a2 a1 a5 a3 a0 a7
7,a7,1,0,0,True,a0 a5 a7 a3 a2 a6 a4 a1
8,a7,2,11,11,True,a2 a6 a3 a1 a4 a5 a7 a0
9,a7,1,1,1,True,a1 a7 a0 a3 a4 a2 a5 a6
10,a7,2,00,00,True,a1 a6 a0 a7 a3 a2 a4 a5
11,a3,2,11,11,True,a6 a2 a0 a3 a1 a4 a7 a5
12,a1,2,01,01,True,a3 a7 a6 a4 a0 a5 a1 a2
13,a0,1,1,1,True,a1 a2 a6 a5 a0 a4 a7 a3
14,a2,2,10,10,True,a1 a5 a7 a6 a4 a2 a3 a0
15,a2,2,01,01,True,a7 a5 a4 a0 a6 a2 a3 a1
16,a0,2,10,10,True,a4 a5 a1 a0 a7 a3 a6 a2
17,a7,2,11,11,True,a3 a4 a2 a5 a6 a7 a1 a0
18,a7,1,1,1,True,a6 a3 a7 a1 a0 a2 a5 a4
19,a2,2,00,00,True,a7 a1 a5 a0 a3 a2 a6 a4
20,a3,1,1,1,True,a1 a6 a3 a7 a0 a4 a2 a5
21,a5,1,1,1,True,a2 a5 a3 a6 a7 a0 a4 a1
22,a0,2,01,01,True,a6 a4 a5 a3 a1 a2 a0 a7
23,a0,3,110,110,True,a6 a2 a4 a7 a5 a1 a3 a0
24,a5,1,0,0,True,a1 a2 a7 a3 a5 a6 a0 a4
25,a5,1,1,1,True,a2 a5 a7 a4 a0 a1 a6 a3
26,a0,2,10,10,True,a5 a1 a7 a3 a2 a0 a6 a4
27,a7,1,1,1,True,a2 a6 a3 a4 a7 a0 a5 a1
28,a6,2,11,11,True,a0 a7 a5 a1 a2 a3 a6 a4
29,a7,2,00,00,True,a4 a1 a6 a0 a5 a2 a7 a3
30,a1,3,110,110,True,a2 a7 a0 a5 a6 a4 a3 a1
31,a5,2,11,11,True,a0 a2 a6 a7 a3 a5 a4 a1
32,a0,3,100,100,True,a2 a5 a4 a3 a1 a7 a6 a0
33,a7,0,,,True,a7 a6 a3 a2 a4 a5 a0 a1
34,a5,2,11,11,True,a2 a1 a0 a3 a7 a4 a5 a6
35,a6,1,0,0,True,a4 a7 a6 a2 a5 a1 a0 a3
36,a2,1,1,1,True,a4 a6 a2 a7 a1 a3 a0 a5
37,a1,1,1,1,True,a2 a3 a7 a4 a1 a6 a5 a0
38,a4,2,10,10,True,a6 a2 a7 a0 a5 a1 a4 a3
39,a2,0,,,True,a2 a4 a6 a3 a5 a1 a7 a0
40,a1,2,01,01,True,a3 a4 a7 a0 a5 a1 a2 a6
41,a2,0,,,True,a2 a0 a5 a7 a3 a4 a6 a1
42,a4,3,101,101,True,a2 a5 a3 a1 a0 a6 a7 a4
43,a5,2,11,11,True,a3 a1 a4 a6 a0 a2 a5 a7
44,a6,2,00,00,True,a5 a7 a3 a6 a2 a0 a4 a1
45,a4,1,1,1,True,a0 a5 a1 a2 a4 a6 a7 a3
46,a7,2,10,10,True,a2 a0 a6 a1 a3 a4 a7 a5
47,a4,3,111,111,True,a1 a3 a0 a7 a5 a6 a2 a4
48,a5,3,001,001,True,a3 a2 a0 a7 a6 a1 a4 a5
49,a6,3,101,101,True,a2 a1 a5 a0 a4 a7 a3 a6
50,a2,1,1,1,True,a3 a5 a2 a6 a7 a4 a1 a0
51,a5,3,100,100,True,a3 a7 a6 a2 a0 a4 a1 a5
52,a1,1,1,1,True,a0 a2 a7 a5 a1 a6 a3 a4
53,a4,1,1,1,True,a1 a5 a2 a0 a4 a7 a3 a6
54,a7,2,01,01,True,a0 a1 a3 a5 a6 a2 a7 a4
55,a5,2,11,11,True,a1 a4 a6 a5 a0 a3 a2 a7
56,a2,3,001,001,True,a1 a7 a6 a3 a0 a4 a5 a2
57,a5,3,101,101,True,a7 a2 a0 a1 a6 a4 a3 a5
58,a3,3,110,110,True,a2 a6 a1 a7 a4 a0 a5 a3
59,a4,0,,,True,a4 a3 a5 a0 a7 a1 a6 a2
60,a7,1,0,0,True,a2 a7 a1 a3 a4 a5 a6 a0
61,a3,2,11,11,True,a2 a1 a6 a7 a4 a3 a0 a5
62,a2,0,,,True,a2 a0 a7 a3 a1 a6 a4 a5
63,a0,1,0,0,True,a1 a7 a0 a5 a2 a3 a6 a4
64,a1,1,1,1,True,a7 a3 a1 a6 a0 a2 a4 a5
65,a4,2,11,11,True,a5 a0 a2 a3 a6 a1 a4 a7
66,a1,1,0,0,True,a3 a1 a2 a7 a0 a4 a6 a5
