dataset,method,model,split,run,task_id,source,payload,payload_len,stream_key,meta_source,meta_path,packet_count,dedup_packet_count,conflicts,accepted_steps,no_bits_steps,len_mismatch_steps,decode_exception_steps,recovered_payload,decode_ok,failure_reason
alfworld,agentmark,deepseek,ID,1,000,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,11001101,8,2025,report_metadata,,4,4,0,2,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,001,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,11001101,8,2025,report_metadata,,13,13,0,6,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,002,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,11001101,8,2025,report_metadata,,10,10,0,6,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,003,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,11001101,8,2025,report_metadata,,35,35,0,16,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,004,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,11001101,8,2025,report_metadata,,25,25,0,11,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,005,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,11001101,8,2025,report_metadata,,26,26,0,12,11,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,006,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,11001101,8,2025,report_metadata,,12,12,0,5,2,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,007,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,11001101,8,2025,report_metadata,,20,20,0,8,3,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,008,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_008/evaluation_report.json,11001101,8,2025,report_metadata,,0,0,0,0,5,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,009,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,11001101,8,2025,report_metadata,,6,6,0,4,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,010,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,11001101,8,2025,report_metadata,,15,15,0,6,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,011,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,11001101,8,2025,report_metadata,,12,12,0,5,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,012,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,11001101,8,2025,report_metadata,,17,17,0,6,3,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,013,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,11001101,8,2025,report_metadata,,7,7,0,5,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,014,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,11001101,8,2025,report_metadata,,16,16,0,7,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,015,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,11001101,8,2025,report_metadata,,3,3,0,2,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,016,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,11001101,8,2025,report_metadata,,4,4,0,1,4,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,017,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,11001101,8,2025,report_metadata,,24,24,0,10,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,018,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,11001101,8,2025,report_metadata,,10,10,0,6,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,019,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,11001101,8,2025,report_metadata,,4,4,0,2,4,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,020,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,11001101,8,2025,report_metadata,,18,18,0,7,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,021,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,11001101,8,2025,report_metadata,,20,20,0,7,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,022,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,11001101,8,2025,report_metadata,,7,7,0,3,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,023,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,11001101,8,2025,report_metadata,,50,50,0,20,10,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,024,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_024/evaluation_report.json,11001101,8,2025,report_metadata,,9,9,0,5,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,025,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_025/evaluation_report.json,11001101,8,2025,report_metadata,,4,4,0,3,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,026,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_026/evaluation_report.json,11001101,8,2025,report_metadata,,1,1,0,1,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,027,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_027/evaluation_report.json,11001101,8,2025,report_metadata,,23,23,0,10,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,028,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_028/evaluation_report.json,11001101,8,2025,report_metadata,,22,22,0,12,1,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,029,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_029/evaluation_report.json,11001101,8,2025,report_metadata,,45,45,0,17,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,030,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_030/evaluation_report.json,11001101,8,2025,report_metadata,,13,13,0,5,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,031,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_031/evaluation_report.json,11001101,8,2025,report_metadata,,34,34,0,12,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,032,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_032/evaluation_report.json,11001101,8,2025,report_metadata,,7,7,0,3,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,033,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_033/evaluation_report.json,11001101,8,2025,report_metadata,,2,2,0,1,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,034,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_034/evaluation_report.json,11001101,8,2025,report_metadata,,2,2,0,1,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,035,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_035/evaluation_report.json,11001101,8,2025,report_metadata,,42,42,0,18,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,036,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_036/evaluation_report.json,11001101,8,2025,report_metadata,,12,12,0,5,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,037,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_037/evaluation_report.json,11001101,8,2025,report_metadata,,18,18,0,8,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,038,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_038/evaluation_report.json,11001101,8,2025,report_metadata,,19,19,0,7,4,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,039,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_039/evaluation_report.json,11001101,8,2025,report_metadata,,11,11,0,4,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,040,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_040/evaluation_report.json,11001101,8,2025,report_metadata,,5,5,0,2,5,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,041,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_041/evaluation_report.json,11001101,8,2025,report_metadata,,21,21,0,8,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,042,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_042/evaluation_report.json,11001101,8,2025,report_metadata,,8,8,0,4,5,0,0,,False,rank_deficient
alfworld,agentmark,deepseek,ID,1,043,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_043/evaluation_report.json,11001101,8,2025,report_metadata,,6,6,0,2,5,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,044,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_044/evaluation_report.json,11001101,8,2025,report_metadata,,4,4,0,2,6,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,045,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_045/evaluation_report.json,11001101,8,2025,report_metadata,,2,2,0,2,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,046,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_046/evaluation_report.json,11001101,8,2025,report_metadata,,52,52,0,25,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,047,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_047/evaluation_report.json,11001101,8,2025,report_metadata,,23,23,0,10,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,048,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_048/evaluation_report.json,11001101,8,2025,report_metadata,,6,6,0,4,5,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,049,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_049/evaluation_report.json,11001101,8,2025,report_metadata,,8,8,0,3,7,0,0,,False,rank_deficient
alfworld,agentmark,deepseek,ID,1,050,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_050/evaluation_report.json,11001101,8,2025,report_metadata,,1,1,0,1,6,0,0,,False,insufficient_packets
