model,topk,trajectories,strict_success,dedup_packets_per_traj,accepted_steps_per_traj,all_pooled_success,all_pooled_dedup,all_pooled_conflicts,all_pooled_reason,pool10_success,pool20_success,pool50_success,pool100_success
deepseek,2,360,0.000,0.372,0.372,0.000,8,0,rank_deficient,0.000,0.000,0.000,0.000
deepseek,3,360,0.000,0.631,0.631,1.000,29,0,,0.000,0.000,1.000,1.000
deepseek,4,360,0.003,0.928,0.767,1.000,26,0,,0.000,0.000,0.000,1.000
deepseek,5,360,0.008,1.061,0.878,1.000,31,0,,0.000,0.385,0.975,1.000
deepseek,10,360,0.028,1.625,1.189,1.000,42,0,,1.000,0.815,1.000,1.000
gemini-flash,2,360,0.000,0.372,0.372,1.000,8,0,,0.000,0.000,0.140,0.660
gemini-flash,3,360,0.000,0.503,0.503,1.000,15,0,,0.000,0.000,0.000,1.000
gemini-flash,4,360,0.022,1.869,1.519,1.000,29,0,,0.000,0.000,0.000,1.000
gemini-flash,5,360,0.003,0.750,0.647,1.000,23,0,,0.000,0.000,0.000,1.000
gemini-flash,10,360,0.011,1.042,0.819,1.000,36,0,,0.000,0.585,0.995,1.000
