model,split,topk,noise_model,epsilon,trajectories,strict_decode_success_rate,dedup_packet_mean,accepted_steps_mean,c_nom_proxy_bits,c_eff_proxy_bits,observed_accepted_over_cnom,prop2_flip_upper_curve
deepseek,G1_category,3,adjacent_swap,0.0,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.0
deepseek,G1_category,3,adjacent_swap,0.05,600,0.0,0.353333,0.353333,0.353333,0.0,1.0,0.0975
deepseek,G1_category,3,adjacent_swap,0.1,600,0.0,0.348333,0.348333,0.348333,0.0,1.0,0.19
deepseek,G1_category,3,adjacent_swap,0.15,600,0.0,0.326667,0.326667,0.326667,0.0,1.0,0.2775
deepseek,G1_category,3,adjacent_swap,0.2,600,0.0,0.32,0.32,0.32,0.0,1.0,0.36
deepseek,G1_category,3,adjacent_swap,0.25,600,0.0,0.31,0.31,0.31,0.0,1.0,0.4375
deepseek,G1_category,3,adjacent_swap,0.3,600,0.0,0.32,0.32,0.32,0.0,1.0,0.51
deepseek,G1_category,3,adjacent_swap,0.35,600,0.0,0.286667,0.286667,0.286667,0.0,1.0,0.5775
deepseek,G1_category,3,adjacent_swap,0.4,600,0.0,0.265,0.265,0.265,0.0,1.0,0.64
deepseek,G1_category,3,adjacent_swap,0.45,600,0.0,0.258333,0.258333,0.258333,0.0,1.0,0.6975
deepseek,G1_category,3,adjacent_swap,0.5,600,0.0,0.271667,0.271667,0.271667,0.0,1.0,0.75
deepseek,G1_category,5,adjacent_swap,0.0,600,0.0,0.65,0.566667,0.65,0.0,0.871795,0.0
deepseek,G1_category,5,adjacent_swap,0.05,600,0.0,0.618333,0.541667,0.618333,0.0,0.876012,0.142625
deepseek,G1_category,5,adjacent_swap,0.1,600,0.0,0.591667,0.518333,0.591667,0.0,0.876055,0.271
deepseek,G1_category,5,adjacent_swap,0.15,600,0.0,0.535,0.471667,0.535,0.0,0.881621,0.385875
deepseek,G1_category,5,adjacent_swap,0.2,600,0.0,0.508333,0.458333,0.508333,0.0,0.901639,0.488
deepseek,G1_category,5,adjacent_swap,0.25,600,0.0,0.463333,0.423333,0.463333,0.0,0.913669,0.578125
deepseek,G1_category,5,adjacent_swap,0.3,600,0.0,0.455,0.413333,0.455,0.0,0.908424,0.657
deepseek,G1_category,5,adjacent_swap,0.35,600,0.0,0.403333,0.363333,0.403333,0.0,0.900826,0.725375
deepseek,G1_category,5,adjacent_swap,0.4,600,0.0,0.423333,0.385,0.423333,0.0,0.90945,0.784
deepseek,G1_category,5,adjacent_swap,0.45,600,0.0,0.381667,0.345,0.381667,0.0,0.903929,0.833625
deepseek,G1_category,5,adjacent_swap,0.5,600,0.0,0.32,0.293333,0.32,0.0,0.916666,0.875
deepseek,G1_category,10,adjacent_swap,0.0,600,0.0,1.166667,0.833333,1.166667,0.0,0.714285,0.0
deepseek,G1_category,10,adjacent_swap,0.05,600,0.0,1.078333,0.773333,1.078333,0.0,0.717156,0.185494
deepseek,G1_category,10,adjacent_swap,0.1,600,0.0,1.031667,0.738333,1.031667,0.0,0.71567,0.3439
deepseek,G1_category,10,adjacent_swap,0.15,600,0.0,0.991667,0.703333,0.991667,0.0,0.709243,0.477994
deepseek,G1_category,10,adjacent_swap,0.2,600,0.0,0.848333,0.618333,0.848333,0.0,0.72888,0.5904
deepseek,G1_category,10,adjacent_swap,0.25,600,0.0,0.835,0.591667,0.835,0.0,0.708583,0.683594
deepseek,G1_category,10,adjacent_swap,0.3,600,0.0,0.745,0.546667,0.745,0.0,0.733781,0.7599
deepseek,G1_category,10,adjacent_swap,0.35,600,0.0,0.736667,0.528333,0.736667,0.0,0.717194,0.821494
deepseek,G1_category,10,adjacent_swap,0.4,600,0.0,0.678333,0.488333,0.678333,0.0,0.719902,0.8704
deepseek,G1_category,10,adjacent_swap,0.45,600,0.0,0.545,0.42,0.545,0.0,0.770642,0.908494
deepseek,G1_category,10,adjacent_swap,0.5,600,0.0,0.57,0.413333,0.57,0.0,0.725146,0.9375
deepseek,G1_category,3,kendall_tau,0.0,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.0
deepseek,G1_category,3,kendall_tau,0.05,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.0975
deepseek,G1_category,3,kendall_tau,0.1,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.19
deepseek,G1_category,3,kendall_tau,0.15,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.2775
deepseek,G1_category,3,kendall_tau,0.2,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.36
deepseek,G1_category,3,kendall_tau,0.25,600,0.0,0.366667,0.366667,0.366667,0.0,1.0,0.4375
deepseek,G1_category,3,kendall_tau,0.3,600,0.0,0.296667,0.296667,0.296667,0.0,1.0,0.51
deepseek,G1_category,3,kendall_tau,0.35,600,0.0,0.278333,0.278333,0.278333,0.0,1.0,0.5775
deepseek,G1_category,3,kendall_tau,0.4,600,0.0,0.298333,0.298333,0.298333,0.0,1.0,0.64
deepseek,G1_category,3,kendall_tau,0.45,600,0.0,0.31,0.31,0.31,0.0,1.0,0.6975
deepseek,G1_category,3,kendall_tau,0.5,600,0.0,0.306667,0.306667,0.306667,0.0,1.0,0.75
deepseek,G1_category,5,kendall_tau,0.0,600,0.0,0.65,0.566667,0.65,0.0,0.871795,0.0
deepseek,G1_category,5,kendall_tau,0.05,600,0.0,0.65,0.566667,0.65,0.0,0.871795,0.142625
deepseek,G1_category,5,kendall_tau,0.1,600,0.0,0.65,0.566667,0.65,0.0,0.871795,0.271
deepseek,G1_category,5,kendall_tau,0.15,600,0.0,0.473333,0.441667,0.473333,0.0,0.9331,0.385875
deepseek,G1_category,5,kendall_tau,0.2,600,0.0,0.473333,0.431667,0.473333,0.0,0.911973,0.488
deepseek,G1_category,5,kendall_tau,0.25,600,0.0,0.488333,0.446667,0.488333,0.0,0.914677,0.578125
deepseek,G1_category,5,kendall_tau,0.3,600,0.0,0.44,0.4,0.44,0.0,0.909091,0.657
deepseek,G1_category,5,kendall_tau,0.35,600,0.0,0.438333,0.398333,0.438333,0.0,0.908745,0.725375
deepseek,G1_category,5,kendall_tau,0.4,600,0.0,0.421667,0.388333,0.421667,0.0,0.920947,0.784
deepseek,G1_category,5,kendall_tau,0.45,600,0.0,0.436667,0.4,0.436667,0.0,0.91603,0.833625
deepseek,G1_category,5,kendall_tau,0.5,600,0.0,0.426667,0.396667,0.426667,0.0,0.929688,0.875
deepseek,G1_category,10,kendall_tau,0.0,600,0.0,1.166667,0.833333,1.166667,0.0,0.714285,0.0
deepseek,G1_category,10,kendall_tau,0.05,600,0.0,1.166667,0.833333,1.166667,0.0,0.714285,0.185494
deepseek,G1_category,10,kendall_tau,0.1,600,0.0,0.98,0.71,0.98,0.0,0.72449,0.3439
deepseek,G1_category,10,kendall_tau,0.15,600,0.0,0.995,0.718333,0.995,0.0,0.721943,0.477994
deepseek,G1_category,10,kendall_tau,0.2,600,0.0,0.886667,0.648333,0.886667,0.0,0.731202,0.5904
deepseek,G1_category,10,kendall_tau,0.25,600,0.0,0.866667,0.636667,0.866667,0.0,0.734615,0.683594
deepseek,G1_category,10,kendall_tau,0.3,600,0.0,0.813333,0.593333,0.813333,0.0,0.729508,0.7599
deepseek,G1_category,10,kendall_tau,0.35,600,0.0,0.786667,0.583333,0.786667,0.0,0.741525,0.821494
deepseek,G1_category,10,kendall_tau,0.4,600,0.0,0.73,0.535,0.73,0.0,0.732877,0.8704
deepseek,G1_category,10,kendall_tau,0.45,600,0.0,0.735,0.536667,0.735,0.0,0.730159,0.908494
deepseek,G1_category,10,kendall_tau,0.5,600,0.0,0.753333,0.551667,0.753333,0.0,0.732302,0.9375
deepseek,G1_instruction,3,adjacent_swap,0.0,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.0
deepseek,G1_instruction,3,adjacent_swap,0.05,600,0.0,0.905,0.905,0.905,0.0,1.0,0.0975
deepseek,G1_instruction,3,adjacent_swap,0.1,600,0.0,0.865,0.865,0.865,0.0,1.0,0.19
deepseek,G1_instruction,3,adjacent_swap,0.15,600,0.0,0.855,0.855,0.855,0.0,1.0,0.2775
deepseek,G1_instruction,3,adjacent_swap,0.2,600,0.0,0.818333,0.818333,0.818333,0.0,1.0,0.36
deepseek,G1_instruction,3,adjacent_swap,0.25,600,0.0,0.796667,0.796667,0.796667,0.0,1.0,0.4375
