dataset,method,model,run,split,task_id,success,steps,source,path_in_output_0510,original_path
alfworld,agentmark,deepseek,1,ID,0,True,4.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_0/20260510_122825/reports/round_01/evaluation_report_20260510_122825.json
alfworld,agentmark,deepseek,1,ID,1,True,10.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_1/20260510_125709/reports/round_01/evaluation_report_20260510_125709.json
alfworld,agentmark,deepseek,1,ID,2,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_2/20260510_125710/reports/round_01/evaluation_report_20260510_125710.json
alfworld,agentmark,deepseek,1,ID,3,True,21.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_3/20260510_125710/reports/round_01/evaluation_report_20260510_125710.json
alfworld,agentmark,deepseek,1,ID,4,True,15.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_4/20260510_125712/reports/round_01/evaluation_report_20260510_125712.json
alfworld,agentmark,deepseek,1,ID,5,True,23.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_5/20260510_125715/reports/round_01/evaluation_report_20260510_125715.json
alfworld,agentmark,deepseek,1,ID,6,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_6/20260510_125715/reports/round_01/evaluation_report_20260510_125715.json
alfworld,agentmark,deepseek,1,ID,7,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_7/20260510_125715/reports/round_01/evaluation_report_20260510_125715.json
alfworld,agentmark,deepseek,1,ID,8,True,5.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_008/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_8/20260510_125716/reports/round_01/evaluation_report_20260510_125716.json
alfworld,agentmark,deepseek,1,ID,9,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_9/20260510_125716/reports/round_01/evaluation_report_20260510_125716.json
