model,topk,pool_size,available_trajectories,success_mean,success_std,dedup_mean,dedup_std
deepseek,2,1,107,0.000,0.000,1.200,0.448
deepseek,2,2,107,0.000,0.000,2.120,0.842
deepseek,2,3,107,0.000,0.000,2.855,1.058
deepseek,2,5,107,0.000,0.000,3.900,1.139
deepseek,2,8,107,0.000,0.000,4.455,1.055
deepseek,2,10,107,0.000,0.000,4.765,1.051
deepseek,2,15,107,0.000,0.000,5.515,1.075
deepseek,2,20,107,0.000,0.000,5.995,0.905
deepseek,2,30,107,0.000,0.000,6.430,0.865
deepseek,2,40,107,0.000,0.000,6.855,0.712
deepseek,2,50,107,0.000,0.000,7.155,0.702
deepseek,2,75,107,0.000,0.000,7.640,0.492
deepseek,2,100,107,0.000,0.000,7.955,0.208
deepseek,3,1,141,0.000,0.000,1.595,0.952
deepseek,3,2,141,0.005,0.071,2.905,1.398
deepseek,3,3,141,0.030,0.171,4.250,1.964
deepseek,3,5,141,0.135,0.343,6.000,2.237
deepseek,3,8,141,0.465,0.500,8.160,2.539
deepseek,3,10,141,0.590,0.493,9.080,2.850
deepseek,3,15,141,0.905,0.294,11.855,2.775
deepseek,3,20,141,0.985,0.122,13.685,2.990
deepseek,3,30,141,1.000,0.000,16.385,2.965
deepseek,3,40,141,1.000,0.000,18.680,2.785
deepseek,3,50,141,1.000,0.000,20.610,2.661
deepseek,3,75,141,1.000,0.000,24.040,2.207
deepseek,3,100,141,1.000,0.000,26.585,1.763
deepseek,4,1,148,0.015,0.122,2.175,1.822
deepseek,4,2,148,0.050,0.218,3.965,2.369
deepseek,4,3,148,0.100,0.301,5.415,2.564
deepseek,4,5,148,0.330,0.471,7.435,2.877
deepseek,4,8,148,0.695,0.462,10.450,3.458
deepseek,4,10,148,0.780,0.415,11.010,3.301
deepseek,4,15,148,0.930,0.256,13.410,3.540
deepseek,4,20,148,0.995,0.071,14.490,3.473
deepseek,4,30,148,1.000,0.000,17.400,3.288
deepseek,4,40,148,1.000,0.000,18.665,3.199
deepseek,4,50,148,1.000,0.000,19.700,3.047
deepseek,4,75,148,1.000,0.000,22.280,2.433
deepseek,4,100,148,1.000,0.000,23.915,1.949
deepseek,4,125,148,1.000,0.000,25.065,1.400
deepseek,5,1,160,0.020,0.140,2.660,2.158
deepseek,5,2,160,0.070,0.256,4.190,2.689
deepseek,5,3,160,0.205,0.405,6.080,3.176
deepseek,5,5,160,0.455,0.499,8.340,3.970
deepseek,5,8,160,0.720,0.450,10.960,4.168
deepseek,5,10,160,0.860,0.348,13.005,5.077
deepseek,5,15,160,0.965,0.184,15.075,4.413
deepseek,5,20,160,0.990,0.100,16.515,4.462
deepseek,5,30,160,1.000,0.000,19.045,4.422
deepseek,5,40,160,1.000,0.000,21.460,4.631
deepseek,5,50,160,1.000,0.000,23.625,4.287
deepseek,5,75,160,1.000,0.000,25.985,3.672
deepseek,5,100,160,1.000,0.000,27.625,3.051
deepseek,5,150,160,1.000,0.000,30.570,1.184
