dataset,method,model,split,run,config,alpha,noise_rate,erasure_rate,N_clean,N_attack,compensation_ratio,observed_after_attack
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.0,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.1,20,20,1.0,19
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.2,20,20,1.0,12
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.3,20,20,1.0,16
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.5,20,20,1.0,10
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.0,0.7,20,30,1.5,10
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.0,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.1,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.2,20,20,1.0,15
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.3,20,10,0.5,7
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.5,20,20,1.0,11
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.05,0.7,20,20,1.0,8
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.0,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.1,20,20,1.0,18
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.2,20,20,1.0,18
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.3,20,20,1.0,14
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.5,20,30,1.5,15
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.1,0.7,20,30,1.5,7
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.0,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.1,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.2,20,50,2.5,38
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.3,20,30,1.5,23
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.5,20,80,4.0,39
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.15,0.7,20,100,5.0,21
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.0,20,20,1.0,20
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.1,20,30,1.5,27
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.2,20,30,1.5,24
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.3,20,10,0.5,7
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.5,20,50,2.5,22
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.2,0.7,20,30,1.5,10
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.3,0.0,20,50,2.5,50
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.3,0.1,20,50,2.5,46
alfworld,rank,deepseek,ID,1,full_rank,0.01,0.3,0.2,20,50,2.5,41
