dataset,method,model,split,run,task_id,payload,payload_len,stream_key,source,view,view_label,packet_count,dedup_packet_count,conflicts,accepted_steps,len_mismatch_steps,decode_exception_steps,recovered_payload,decode_ok,failure_reason
alfworld,agentmark,deepseek,ID,1,000,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,agentmark,AgentMark-F exact probabilities,4,4,0,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,000,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,2,2,0,1,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,000,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,001,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,agentmark,AgentMark-F exact probabilities,13,13,0,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,001,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,6,6,0,2,4,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,001,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,002,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,agentmark,AgentMark-F exact probabilities,10,10,0,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,002,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,6,6,0,3,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,002,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,3,3,0,3,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,003,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,agentmark,AgentMark-F exact probabilities,35,35,0,16,0,0,11001101,True,
