dataset,method,model,split,runs,dedup_packet_mean,dedup_packet_std,payload_len,decode_success_rate_mean,decode_success_rate_std,strict_payload_match
alfworld,agentmark,deepseek,ID,3,19.55952380952381,1.5225571490452647,8,0.6666666666666666,0.014869042853329512,True
alfworld,agentmark,deepseek,OOD,3,21.902985074626866,0.6390517730469423,8,0.7213930348258707,0.02398918099749492,True
alfworld,agentmark,gemini-flash,ID,3,37.528571428571425,0.6752550538538035,8,0.8285714285714286,0.01428571428571429,True
alfworld,agentmark,gemini-flash,OOD,3,37.84577114427861,0.7498917027823624,8,0.8134328358208955,0.014925373134328346,True
alfworld,rank,deepseek,ID,3,7.154761904761905,0.2649926195866107,8,0.2333333333333333,0.041239304942116105,True
alfworld,rank,deepseek,OOD,3,7.718905472636816,0.2158166291218307,8,0.24129353233830844,0.004308584098430039,True
alfworld,rank,gemini-flash,ID,3,15.695238095238096,0.5332004511330015,8,0.5071428571428571,0.05846680551337463,True
alfworld,rank,gemini-flash,OOD,3,14.686567164179104,0.957058639051549,8,0.4104477611940298,0.01974441276913873,True
toolbench,agentmark,deepseek,G1_category,3,1.1833333333333333,0.30550504633038933,8,0.03333333333333333,0.02886751345948129,True
toolbench,agentmark,deepseek,G1_instruction,3,3.4166666666666665,0.5773502691896257,8,0.15,0.0,True
toolbench,agentmark,deepseek,G1_tool,3,1.4166666666666667,0.37527767497325676,8,0.0,0.0,True
toolbench,agentmark,deepseek,G2_category,3,3.9333333333333336,1.1184066046538412,8,0.2,0.09999999999999999,True
toolbench,agentmark,deepseek,G2_instruction,3,3.216666666666667,0.9751068317540048,8,0.15,0.0,True
toolbench,agentmark,deepseek,G3_instruction,3,3.1,0.3499999999999999,8,0.18333333333333335,0.07637626158259733,True
toolbench,agentmark,gemini-flash,G1_category,3,1.9,0.7566372975210778,8,0.03333333333333333,0.05773502691896258,True
toolbench,agentmark,gemini-flash,G1_instruction,3,2.8833333333333333,1.3156113914577257,8,0.08333333333333334,0.02886751345948129,True
toolbench,agentmark,gemini-flash,G1_tool,3,3.3833333333333333,0.8005206639015219,8,0.11666666666666667,0.07637626158259733,True
toolbench,agentmark,gemini-flash,G2_category,3,3.5166666666666666,1.3269639532908697,8,0.1,0.049999999999999996,True
toolbench,agentmark,gemini-flash,G2_instruction,3,2.65,0.9759610647971568,8,0.05,0.05,True
toolbench,agentmark,gemini-flash,G3_instruction,3,2.716666666666667,0.4932882862316248,8,0.05,0.05,True
toolbench,rank,deepseek,G1_category,3,1.1666666666666667,0.5507570547286103,8,0.05,0.05,True
toolbench,rank,deepseek,G1_instruction,3,2.2666666666666666,0.36855573979159956,8,0.03333333333333333,0.02886751345948129,True
toolbench,rank,deepseek,G1_tool,3,1.8666666666666667,0.275378527364305,8,0.016666666666666666,0.02886751345948129,True
toolbench,rank,deepseek,G2_category,3,2.216666666666667,0.37527767497325676,8,0.03333333333333333,0.05773502691896258,True
toolbench,rank,deepseek,G2_instruction,3,1.45,0.7697402159170327,8,0.0,0.0,True
toolbench,rank,deepseek,G3_instruction,3,1.5833333333333333,0.553022000767902,8,0.03333333333333333,0.02886751345948129,True
toolbench,rank,gemini-flash,G1_category,3,1.0833333333333333,0.0763762615825973,8,0.016666666666666666,0.02886751345948129,True
toolbench,rank,gemini-flash,G1_instruction,3,1.3,0.3041381265149109,8,0.0,0.0,True
toolbench,rank,gemini-flash,G1_tool,3,1.0833333333333335,0.22546248764114474,8,0.016666666666666666,0.02886751345948129,True
toolbench,rank,gemini-flash,G2_category,3,1.2833333333333334,0.2753785273643051,8,0.03333333333333333,0.02886751345948129,True
toolbench,rank,gemini-flash,G2_instruction,3,1.0333333333333334,0.2843120351538664,8,0.0,0.0,True
toolbench,rank,gemini-flash,G3_instruction,3,1.2833333333333334,0.2565800719723442,8,0.0,0.0,True
