dataset,method,model,split,run,task_id,config,topk,source,step_start_index,bits_in_step,decoded_bits,expected_bits,step_match,bit_matches
alfworld,agentmark,deepseek,ID,1,000,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,000,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_000/evaluation_report.json,2,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,1,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,4,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,6,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,9,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,001,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_001/evaluation_report.json,11,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,2,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,5,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,6,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,7,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,002,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_002/evaluation_report.json,8,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,3,3,110,110,1,111
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,6,4,0101,0101,1,1111
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,10,2,00,00,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,12,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,13,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,15,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,16,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,18,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,20,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,22,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,24,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,26,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,28,2,00,00,1,11
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,30,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,003,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,33,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,2,4,1110,1110,1,1111
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,6,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,8,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,11,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,14,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,16,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,18,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,20,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,21,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,004,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,23,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,3,3,110,110,1,111
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,6,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,9,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,10,2,00,00,1,11
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,12,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,13,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,15,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,16,3,101,101,1,111
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,19,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,20,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,005,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,22,4,1110,1110,1,1111
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,3,3,110,110,1,111
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,6,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,8,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,006,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,9,3,100,100,1,111
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,2,4,1110,1110,1,1111
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,6,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,9,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,11,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,13,3,011,011,1,111
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,16,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,007,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,18,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,009,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,009,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,1,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,009,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,4,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,009,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,5,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,1,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,2,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,4,4,1001,1001,1,1111
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,8,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,010,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,11,4,0101,0101,1,1111
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,3,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,5,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,6,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,011,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,8,4,0100,0100,1,1111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,3,3,110,110,1,111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,6,4,0101,0101,1,1111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,10,3,001,001,1,111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,13,3,011,011,1,111
alfworld,agentmark,deepseek,ID,1,012,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,16,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,1,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,2,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,5,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,013,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,6,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,0,3,111,111,1,111
