dataset,method,model,split,run,config,payload_len,alpha,N_min,attained,p_value_at_N_min
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,8,0.01,10,True,0.0009765625
