source,dataset,method,model,split,c_nom_proxy_bits,repeated_settings,repeat_count
capacity_l0_l6_proxy,alfworld,agentmark,deepseek,ID,14.7952,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,deepseek,ID,17.9976,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,deepseek,OOD,16.1642,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,deepseek,OOD,20.209,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,gemini-flash,ID,21.45,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,gemini-flash,ID,28.8429,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,gemini-flash,OOD,22.2413,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,agentmark,gemini-flash,OOD,30.2637,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,rank,deepseek,ID,8.1452,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,rank,deepseek,ID,8.5167,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,rank,deepseek,OOD,9.2114,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,rank,deepseek,OOD,9.5572,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,rank,gemini-flash,ID,15.8048,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,rank,gemini-flash,ID,18.0333,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,alfworld,rank,gemini-flash,OOD,15.2886,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,alfworld,rank,gemini-flash,OOD,16.995,"L1_top10_rank,L2_top8_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_category,0.9,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_category,1.0667,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_instruction,2.7333,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_instruction,3.0833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_tool,1.25,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G1_tool,1.3333,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G2_category,2.85,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G2_category,3.5,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G2_instruction,2.4667,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G2_instruction,2.8,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G3_instruction,2.95,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,deepseek,G3_instruction,3.05,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_category,1.4667,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_category,1.7167,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_instruction,2.4333,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_instruction,2.65,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_tool,2.55,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G1_tool,3.0333,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G2_category,2.55,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G2_category,3.1833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G2_instruction,2.1,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G2_instruction,2.4833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G3_instruction,2.6,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,agentmark,gemini-flash,G3_instruction,2.6667,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_category,1.1167,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_category,1.1667,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_instruction,2.1667,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_instruction,2.2667,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_tool,1.8167,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G1_tool,1.8667,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G2_category,2.1833,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G2_category,2.2167,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G2_instruction,1.4167,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G2_instruction,1.45,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,deepseek,G3_instruction,1.5167,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,deepseek,G3_instruction,1.5833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_category,1.0333,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_category,1.0833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_instruction,1.2833,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_instruction,1.3,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_tool,1.0667,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G1_tool,1.0833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G2_category,1.25,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G2_category,1.2833,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G2_instruction,0.9833,"L3_top6_rank,L4_top4_rank",2
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G2_instruction,1.0333,"L0_exact_probs,L1_top10_rank,L2_top8_rank",3
capacity_l0_l6_proxy,toolbench,rank,gemini-flash,G3_instruction,1.2833,"L0_exact_probs,L1_top10_rank,L2_top8_rank,L3_top6_rank,L4_top4_rank",5
topk_ablation,alfworld,rank,deepseek,ID,8.1452,"4,6",2
topk_ablation,alfworld,rank,deepseek,ID,8.5167,"8,10",2
topk_ablation,alfworld,rank,deepseek,OOD,9.2114,"4,6",2
topk_ablation,alfworld,rank,deepseek,OOD,9.5572,"8,10",2
topk_ablation,alfworld,rank,gemini-flash,ID,15.8048,"4,6",2
topk_ablation,alfworld,rank,gemini-flash,ID,18.0333,"8,10",2
topk_ablation,alfworld,rank,gemini-flash,OOD,15.2886,"4,6",2
topk_ablation,alfworld,rank,gemini-flash,OOD,16.995,"8,10",2
topk_ablation,toolbench,rank,deepseek,G1_category,1.1167,"4,6",2
topk_ablation,toolbench,rank,deepseek,G1_category,1.1667,"8,10,20",3
topk_ablation,toolbench,rank,deepseek,G1_instruction,2.1667,"4,6",2
topk_ablation,toolbench,rank,deepseek,G1_instruction,2.2667,"8,10,20",3
topk_ablation,toolbench,rank,deepseek,G1_tool,1.8167,"4,6",2
topk_ablation,toolbench,rank,deepseek,G1_tool,1.8667,"8,10,20",3
topk_ablation,toolbench,rank,deepseek,G2_category,2.1833,"4,6",2
topk_ablation,toolbench,rank,deepseek,G2_category,2.2167,"8,10,20",3
topk_ablation,toolbench,rank,deepseek,G2_instruction,1.4167,"4,6",2
topk_ablation,toolbench,rank,deepseek,G2_instruction,1.45,"8,10,20",3
topk_ablation,toolbench,rank,deepseek,G3_instruction,1.5167,"4,6",2
topk_ablation,toolbench,rank,deepseek,G3_instruction,1.5833,"8,10,20",3
topk_ablation,toolbench,rank,gemini-flash,G1_category,1.0333,"4,6",2
topk_ablation,toolbench,rank,gemini-flash,G1_category,1.0833,"8,10,20",3
topk_ablation,toolbench,rank,gemini-flash,G1_instruction,1.2833,"4,6",2
topk_ablation,toolbench,rank,gemini-flash,G1_instruction,1.3,"8,10,20",3
topk_ablation,toolbench,rank,gemini-flash,G1_tool,1.0667,"4,6",2
