dataset,method,model,split,run,config,N,observed_N,matches,match_rate,p_value,log10_p_value,truncated
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,ID,1,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,ID,2,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,ID,3,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,OOD,1,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,OOD,2,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,deepseek,OOD,3,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,ID,1,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
