view,view_label,model,split,run,pool_size,repeat,available_trajectories,pooled_decode_success,pooled_dedup_packets,pooled_conflicts,pooled_recovered_payload
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,0,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,1,140,False,5,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,2,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,3,140,True,35,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,4,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,5,140,False,2,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,6,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,7,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,8,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,9,140,True,21,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,10,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,11,140,False,5,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,12,140,False,5,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,13,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,14,140,True,24,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,15,140,False,5,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,16,140,False,2,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,17,140,False,4,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,18,140,True,41,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,19,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,20,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,21,140,True,22,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,22,140,False,3,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,23,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,24,140,True,34,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,25,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,26,140,True,9,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,27,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,28,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,29,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,30,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,31,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,32,140,True,9,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,33,140,True,9,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,34,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,35,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,36,140,True,60,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,37,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,38,140,True,29,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,39,140,False,5,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,40,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,41,140,True,40,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,42,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,43,140,True,16,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,44,140,True,50,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,45,140,False,1,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,46,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,47,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,48,140,True,28,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,1,49,140,True,9,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,0,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,1,140,True,52,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,2,140,True,29,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,3,140,True,47,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,4,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,5,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,6,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,7,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,8,140,True,43,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,9,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,10,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,11,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,12,140,True,27,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,13,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,14,140,True,16,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,15,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,16,140,True,34,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,17,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,18,140,True,28,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,19,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,20,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,21,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,22,140,True,14,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,23,140,True,35,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,24,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,25,140,True,43,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,26,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,27,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,28,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,29,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,30,140,True,28,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,31,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,32,140,True,21,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,33,140,True,25,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,34,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,35,140,False,7,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,36,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,37,140,True,41,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,38,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,39,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,40,140,True,35,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,41,140,True,22,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,42,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,43,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,44,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,45,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,46,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,47,140,True,19,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,48,140,False,6,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,2,49,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,0,140,False,4,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,1,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,2,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,3,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,4,140,True,19,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,5,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,6,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,7,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,8,140,True,24,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,9,140,True,49,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,10,140,True,45,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,11,140,True,43,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,12,140,True,52,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,13,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,14,140,True,40,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,15,140,True,48,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,16,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,17,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,18,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,19,140,True,44,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,20,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,21,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,22,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,23,140,True,60,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,24,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,25,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,26,140,True,27,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,27,140,True,44,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,28,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,29,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,30,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,31,140,True,27,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,32,140,True,34,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,33,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,34,140,True,22,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,35,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,36,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,37,140,True,29,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,38,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,39,140,True,45,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,40,140,True,11,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,41,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,42,140,True,16,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,43,140,True,48,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,44,140,True,15,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,45,140,False,8,0,
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,46,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,47,140,True,27,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,48,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,3,49,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,0,140,True,43,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,1,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,2,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,3,140,True,50,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,4,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,5,140,True,41,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,6,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,7,140,True,34,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,8,140,True,45,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,9,140,True,16,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,10,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,11,140,True,24,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,12,140,True,60,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,13,140,True,21,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,14,140,True,47,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,15,140,True,17,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,16,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,17,140,True,25,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,18,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,19,140,True,29,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,20,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,21,140,True,25,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,22,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,23,140,True,12,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,24,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,25,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,26,140,True,24,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,27,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,28,140,True,44,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,29,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,30,140,True,21,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,31,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,32,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,33,140,True,40,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,34,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,35,140,True,37,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,36,140,True,44,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,37,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,38,140,True,38,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,39,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,40,140,True,18,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,41,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,42,140,True,20,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,43,140,True,15,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,44,140,True,23,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,45,140,True,28,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,46,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,47,140,True,11,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,48,140,True,48,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,5,49,140,True,22,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,0,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,1,140,True,35,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,2,140,True,13,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,3,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,4,140,True,50,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,5,140,True,44,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,6,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,7,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,8,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,9,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,10,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,11,140,True,50,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,12,140,True,60,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,13,140,True,26,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,14,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,15,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,16,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,17,140,True,52,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,18,140,True,25,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,19,140,True,39,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,20,140,True,30,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,21,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,22,140,True,48,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,23,140,True,43,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,24,140,True,55,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,25,140,True,52,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,26,140,True,40,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,27,140,True,42,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,28,140,True,41,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,29,140,True,47,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,30,140,True,60,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,31,140,True,63,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,32,140,True,68,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,33,140,True,47,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,34,140,True,49,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,35,140,True,15,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,36,140,True,50,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,37,140,True,28,0,11001101
agentmark,AgentMark-F exact probabilities,deepseek,ID,1,8,38,140,True,55,0,11001101
