dataset,method,model,split,baseline,jsd,actions,runs
alfworld,agentmark,deepseek,ID,clean,0.0766045,6172,3
alfworld,agentmark,deepseek,ID,vanilla,0.90281895,6172,3
alfworld,agentmark,deepseek,OOD,clean,0.06119859,6115,3
alfworld,agentmark,deepseek,OOD,vanilla,0.83290121,6115,3
alfworld,agentmark,gemini-flash,ID,clean,0.11325425,7581,3
alfworld,agentmark,gemini-flash,ID,vanilla,0.18467635,7581,3
alfworld,agentmark,gemini-flash,OOD,clean,0.23497902,7382,3
alfworld,agentmark,gemini-flash,OOD,vanilla,0.17533812,7382,3
alfworld,clean,deepseek,ID,vanilla,0.8999712,6147,3
alfworld,clean,deepseek,OOD,vanilla,0.84137442,5703,3
alfworld,clean,gemini-flash,ID,vanilla,0.20866665,7282,3
alfworld,clean,gemini-flash,OOD,vanilla,0.30593214,7329,3
alfworld,rank,deepseek,ID,clean,0.07858214,6020,3
alfworld,rank,deepseek,ID,vanilla,0.89929564,6020,3
alfworld,rank,deepseek,OOD,clean,0.06557171,5971,3
alfworld,rank,deepseek,OOD,vanilla,0.83420254,5971,3
alfworld,rank,gemini-flash,ID,clean,0.11854802,7759,3
alfworld,rank,gemini-flash,ID,vanilla,0.21011174,7759,3
alfworld,rank,gemini-flash,OOD,clean,0.22086109,7213,3
alfworld,rank,gemini-flash,OOD,vanilla,0.16968675,7213,3
alfworld,rg,deepseek,ID,clean,0.11403278,5699,3
alfworld,rg,deepseek,ID,vanilla,0.88677774,5699,3
alfworld,rg,deepseek,OOD,clean,0.08722693,4982,3
alfworld,rg,deepseek,OOD,vanilla,0.77270469,4982,3
alfworld,rg,gemini-flash,ID,clean,0.11095859,8383,3
alfworld,rg,gemini-flash,ID,vanilla,0.21017819,8383,3
alfworld,rg,gemini-flash,OOD,clean,0.22265671,8019,3
alfworld,rg,gemini-flash,OOD,vanilla,0.17953346,8019,3
alfworld,vanilla,deepseek,ID,clean,0.8999712,1826,3
alfworld,vanilla,deepseek,OOD,clean,0.84137442,1882,3
alfworld,vanilla,gemini-flash,ID,clean,0.20866665,7748,3
alfworld,vanilla,gemini-flash,OOD,clean,0.30593214,7105,3
toolbench,agentmark,deepseek,G1_category,clean,0.13766458,128,3
toolbench,agentmark,deepseek,G1_category,vanilla,0.06091261,128,3
toolbench,agentmark,deepseek,G1_instruction,clean,0.18851926,196,3
toolbench,agentmark,deepseek,G1_instruction,vanilla,0.18645745,196,3
toolbench,agentmark,deepseek,G1_tool,clean,0.32646394,125,3
toolbench,agentmark,deepseek,G1_tool,vanilla,0.20256888,125,3
toolbench,agentmark,deepseek,G2_category,clean,0.20214575,182,3
toolbench,agentmark,deepseek,G2_category,vanilla,0.19880199,182,3
toolbench,agentmark,deepseek,G2_instruction,clean,0.18236878,170,3
toolbench,agentmark,deepseek,G2_instruction,vanilla,0.21503804,170,3
toolbench,agentmark,deepseek,G3_instruction,clean,0.04815862,188,3
toolbench,agentmark,deepseek,G3_instruction,vanilla,0.09033859,188,3
toolbench,agentmark,gemini-flash,G1_category,clean,0.16022346,155,3
toolbench,agentmark,gemini-flash,G1_category,vanilla,0.12386934,155,3
toolbench,agentmark,gemini-flash,G1_instruction,clean,0.17841919,172,3
toolbench,agentmark,gemini-flash,G1_instruction,vanilla,0.19535987,172,3
toolbench,agentmark,gemini-flash,G1_tool,clean,0.27444634,172,3
toolbench,agentmark,gemini-flash,G1_tool,vanilla,0.2657026,172,3
toolbench,agentmark,gemini-flash,G2_category,clean,0.14547929,175,3
toolbench,agentmark,gemini-flash,G2_category,vanilla,0.16352787,175,3
toolbench,agentmark,gemini-flash,G2_instruction,clean,0.18250285,155,3
toolbench,agentmark,gemini-flash,G2_instruction,vanilla,0.16926488,155,3
toolbench,agentmark,gemini-flash,G3_instruction,clean,0.06191393,171,3
toolbench,agentmark,gemini-flash,G3_instruction,vanilla,0.06294357,171,3
toolbench,clean,deepseek,G1_category,vanilla,0.16382369,161,3
toolbench,clean,deepseek,G1_instruction,vanilla,0.2595881,235,3
toolbench,clean,deepseek,G1_tool,vanilla,0.23230952,219,3
toolbench,clean,deepseek,G2_category,vanilla,0.19779994,223,3
toolbench,clean,deepseek,G2_instruction,vanilla,0.20784192,199,3
toolbench,clean,deepseek,G3_instruction,vanilla,0.0804317,195,3
toolbench,clean,gemini-flash,G1_category,vanilla,0.10974336,162,3
toolbench,clean,gemini-flash,G1_instruction,vanilla,0.21315833,174,3
toolbench,clean,gemini-flash,G1_tool,vanilla,0.15981288,174,3
toolbench,clean,gemini-flash,G2_category,vanilla,0.10438749,173,3
toolbench,clean,gemini-flash,G2_instruction,vanilla,0.14840924,151,3
toolbench,clean,gemini-flash,G3_instruction,vanilla,0.07157196,202,3
toolbench,rank,deepseek,G1_category,clean,0.12962623,158,3
toolbench,rank,deepseek,G1_category,vanilla,0.16630107,158,3
toolbench,rank,deepseek,G1_instruction,clean,0.18377561,229,3
toolbench,rank,deepseek,G1_instruction,vanilla,0.26190333,229,3
toolbench,rank,deepseek,G1_tool,clean,0.15070196,211,3
toolbench,rank,deepseek,G1_tool,vanilla,0.19896947,211,3
toolbench,rank,deepseek,G2_category,clean,0.09074065,223,3
toolbench,rank,deepseek,G2_category,vanilla,0.1705195,223,3
toolbench,rank,deepseek,G2_instruction,clean,0.1915946,175,3
toolbench,rank,deepseek,G2_instruction,vanilla,0.18087213,175,3
toolbench,rank,deepseek,G3_instruction,clean,0.05675269,190,3
toolbench,rank,deepseek,G3_instruction,vanilla,0.08525554,190,3
toolbench,rank,gemini-flash,G1_category,clean,0.13095926,160,3
toolbench,rank,gemini-flash,G1_category,vanilla,0.13321713,160,3
toolbench,rank,gemini-flash,G1_instruction,clean,0.23317455,169,3
toolbench,rank,gemini-flash,G1_instruction,vanilla,0.23273485,169,3
toolbench,rank,gemini-flash,G1_tool,clean,0.18752349,165,3
toolbench,rank,gemini-flash,G1_tool,vanilla,0.18741658,165,3
toolbench,rank,gemini-flash,G2_category,clean,0.11437855,165,3
toolbench,rank,gemini-flash,G2_category,vanilla,0.09273456,165,3
toolbench,rank,gemini-flash,G2_instruction,clean,0.16708669,156,3
