dataset,method,model,split,config,payload_len,alpha,runs,attained_runs,N_min_mean,N_min_std,N_min_median
alfworld,agentmark,deepseek,ID,L0_exact_probs,8,0.001,3,3,10,0.0,10
alfworld,agentmark,deepseek,ID,L0_exact_probs,8,0.01,3,3,10,0.0,10
alfworld,agentmark,deepseek,ID,L0_exact_probs,8,0.05,3,3,5,0.0,5
alfworld,agentmark,deepseek,ID,L0_exact_probs,16,0.001,3,3,20,0.0,20
alfworld,agentmark,deepseek,ID,L0_exact_probs,16,0.01,3,3,20,0.0,20
alfworld,agentmark,deepseek,ID,L0_exact_probs,16,0.05,3,3,10,0.0,10
alfworld,agentmark,deepseek,ID,L0_exact_probs,32,0.001,3,3,50,0.0,50
alfworld,agentmark,deepseek,ID,L0_exact_probs,32,0.01,3,3,50,0.0,50
alfworld,agentmark,deepseek,ID,L0_exact_probs,32,0.05,3,3,20,0.0,20
alfworld,agentmark,deepseek,ID,L0_exact_probs,64,0.001,3,3,80,0.0,80
alfworld,agentmark,deepseek,ID,L0_exact_probs,64,0.01,3,3,80,0.0,80
alfworld,agentmark,deepseek,ID,L0_exact_probs,64,0.05,3,3,50,0.0,50
alfworld,agentmark,deepseek,OOD,L0_exact_probs,8,0.001,3,3,10,0.0,10
alfworld,agentmark,deepseek,OOD,L0_exact_probs,8,0.01,3,3,10,0.0,10
alfworld,agentmark,deepseek,OOD,L0_exact_probs,8,0.05,3,3,5,0.0,5
alfworld,agentmark,deepseek,OOD,L0_exact_probs,16,0.001,3,3,20,0.0,20
alfworld,agentmark,deepseek,OOD,L0_exact_probs,16,0.01,3,3,20,0.0,20
alfworld,agentmark,deepseek,OOD,L0_exact_probs,16,0.05,3,3,10,0.0,10
alfworld,agentmark,deepseek,OOD,L0_exact_probs,32,0.001,3,3,50,0.0,50
alfworld,agentmark,deepseek,OOD,L0_exact_probs,32,0.01,3,3,50,0.0,50
alfworld,agentmark,deepseek,OOD,L0_exact_probs,32,0.05,3,3,20,0.0,20
alfworld,agentmark,deepseek,OOD,L0_exact_probs,64,0.001,3,3,80,0.0,80
alfworld,agentmark,deepseek,OOD,L0_exact_probs,64,0.01,3,3,80,0.0,80
alfworld,agentmark,deepseek,OOD,L0_exact_probs,64,0.05,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,8,0.001,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,8,0.01,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,8,0.05,3,3,5,0.0,5
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,16,0.001,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,16,0.01,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,16,0.05,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,32,0.001,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,32,0.01,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,32,0.05,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,64,0.001,3,3,80,0.0,80
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,64,0.01,3,3,80,0.0,80
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,64,0.05,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,8,0.001,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,8,0.01,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,8,0.05,3,3,5,0.0,5
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,16,0.001,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,16,0.01,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,16,0.05,3,3,10,0.0,10
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,32,0.001,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,32,0.01,3,3,50,0.0,50
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,32,0.05,3,3,20,0.0,20
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,64,0.001,3,3,80,0.0,80
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,64,0.01,3,3,80,0.0,80
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,64,0.05,3,3,50,0.0,50
alfworld,rank,deepseek,ID,full_rank,8,0.001,3,3,20,0.0,20
alfworld,rank,deepseek,ID,full_rank,8,0.01,3,3,20,0.0,20
alfworld,rank,deepseek,ID,full_rank,8,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,full_rank,16,0.001,3,3,50,0.0,50
alfworld,rank,deepseek,ID,full_rank,16,0.01,3,3,50,0.0,50
alfworld,rank,deepseek,ID,full_rank,16,0.05,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,full_rank,32,0.001,3,3,80,0.0,80
alfworld,rank,deepseek,ID,full_rank,32,0.01,3,3,80,0.0,80
alfworld,rank,deepseek,ID,full_rank,32,0.05,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,full_rank,64,0.001,3,3,200,0.0,200
alfworld,rank,deepseek,ID,full_rank,64,0.01,3,3,200,0.0,200
alfworld,rank,deepseek,ID,full_rank,64,0.05,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,ID,top10,8,0.001,3,3,20,0.0,20
alfworld,rank,deepseek,ID,top10,8,0.01,3,3,20,0.0,20
alfworld,rank,deepseek,ID,top10,8,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,top10,16,0.001,3,3,50,0.0,50
alfworld,rank,deepseek,ID,top10,16,0.01,3,3,50,0.0,50
alfworld,rank,deepseek,ID,top10,16,0.05,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,top10,32,0.001,3,3,80,0.0,80
alfworld,rank,deepseek,ID,top10,32,0.01,3,3,80,0.0,80
alfworld,rank,deepseek,ID,top10,32,0.05,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,top10,64,0.001,3,3,200,0.0,200
alfworld,rank,deepseek,ID,top10,64,0.01,3,3,200,0.0,200
alfworld,rank,deepseek,ID,top10,64,0.05,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,ID,top2,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,top2,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,top2,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,deepseek,ID,top2,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,top2,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,top2,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,top2,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,top2,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,top2,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,top2,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,ID,top2,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,ID,top2,64,0.05,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,top3,8,0.001,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,deepseek,ID,top3,8,0.01,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,deepseek,ID,top3,8,0.05,3,3,8.333333333333334,2.8867513459481287,10
alfworld,rank,deepseek,ID,top3,16,0.001,3,3,40,17.320508075688775,50
alfworld,rank,deepseek,ID,top3,16,0.01,3,3,40,17.320508075688775,50
alfworld,rank,deepseek,ID,top3,16,0.05,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,deepseek,ID,top3,32,0.001,3,3,70,17.320508075688775,80
alfworld,rank,deepseek,ID,top3,32,0.01,3,3,70,17.320508075688775,80
alfworld,rank,deepseek,ID,top3,32,0.05,3,3,40,17.320508075688775,50
alfworld,rank,deepseek,ID,top3,64,0.001,3,3,160,69.2820323027551,200
alfworld,rank,deepseek,ID,top3,64,0.01,3,3,160,69.2820323027551,200
alfworld,rank,deepseek,ID,top3,64,0.05,3,3,70,17.320508075688775,80
alfworld,rank,deepseek,ID,top5,8,0.001,3,3,20,0.0,20
alfworld,rank,deepseek,ID,top5,8,0.01,3,3,20,0.0,20
alfworld,rank,deepseek,ID,top5,8,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,ID,top5,16,0.001,3,3,50,0.0,50
alfworld,rank,deepseek,ID,top5,16,0.01,3,3,50,0.0,50
alfworld,rank,deepseek,ID,top5,16,0.05,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,ID,top5,32,0.001,3,3,80,0.0,80
alfworld,rank,deepseek,ID,top5,32,0.01,3,3,80,0.0,80
alfworld,rank,deepseek,ID,top5,32,0.05,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,ID,top5,64,0.001,3,3,200,0.0,200
alfworld,rank,deepseek,ID,top5,64,0.01,3,3,200,0.0,200
alfworld,rank,deepseek,ID,top5,64,0.05,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,full_rank,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,full_rank,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,full_rank,8,0.05,3,3,5,0.0,5
alfworld,rank,deepseek,OOD,full_rank,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,full_rank,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,full_rank,16,0.05,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,full_rank,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,full_rank,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,full_rank,32,0.05,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,full_rank,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,full_rank,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,full_rank,64,0.05,3,3,50,0.0,50
alfworld,rank,deepseek,OOD,top10,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top10,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top10,8,0.05,3,3,5,0.0,5
alfworld,rank,deepseek,OOD,top10,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top10,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top10,16,0.05,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,top10,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top10,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top10,32,0.05,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,top10,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,top10,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,top10,64,0.05,3,3,50,0.0,50
