dataset,model,split,run,task_id,step_index,topk,candidate_count,selected_in_topk,exact_bin_size,topk_bin_size,rank_stable_bin_changed,rank_stable_bit_changed,exact_bits_len,topk_bits_len
alfworld,deepseek,ID,1,000,0,10,10,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,0,8,10,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,0,6,10,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,0,4,10,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,0,2,10,0,3,0,0,0,2,0
alfworld,deepseek,ID,1,000,2,10,7,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,2,8,7,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,2,6,7,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,2,4,7,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,000,2,2,7,0,3,0,0,0,2,0
alfworld,deepseek,ID,1,001,0,10,14,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,001,0,8,14,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,001,0,6,14,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,001,0,4,14,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,001,0,2,14,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,001,2,10,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,001,2,8,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,001,2,6,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,001,2,4,9,1,6,4,1,1,3,2
alfworld,deepseek,ID,1,001,2,2,9,1,6,2,1,1,3,1
alfworld,deepseek,ID,1,001,3,10,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,001,3,8,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,001,3,6,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,001,3,4,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,001,3,2,7,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,001,5,10,7,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,001,5,8,7,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,001,5,6,7,1,7,6,1,1,3,3
